;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;C38;C39;C40;C41;C42;C43;C44;C45;C46;C47;C48;C49;C50
L1;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
L2;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
L3;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;p;e;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
L4;r;r;r;r;r;r;p;p;r;r;r;r;p;r;p;e;e;q;r;r;r;r;r;r;p;p;r;r;r;r;r;r;j;r;r;r;r;j;r;r;r;r;r;r;r;r;r;r;r;r
L5;r;r;r;r;r;r;p;p;r;p;r;p;p;p;p;e;e;p;p;p;r;p;r;r;p;p;r;p;p;r;p;r;j;j;r;j;j;j;j;j;r;r;r;r;r;r;r;r;r;r
L6;r;r;r;r;p;p;p;p;p;p;p;p;p;p;e;e;e;p;p;p;p;p;p;p;p;p;p;p;p;r;p;p;j;j;j;j;j;j;j;j;j;j;r;j;r;r;r;r;r;r
L7;r;r;r;r;r;r;r;p;p;p;p;p;p;p;p;e;e;e;p;p;p;p;p;p;p;p;p;p;p;p;p;p;j;j;j;j;j;j;j;j;j;j;j;j;r;r;r;r;r;r
L8;r;r;r;r;r;p;p;p;p;p;p;p;p;p;p;e;e;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;j;j;j;j;j;j;j;j;r;r;r;r;r;r
L9;r;r;r;r;r;r;p;p;p;p;p;p;p;p;p;e;e;e;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;j;j;j;j;j;j;j;q;r;r;r;r;r
L10;r;r;r;r;r;r;p;p;p;p;p;p;p;p;p;p;e;e;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;j;j;j;j;j;j;r;r;r;r;r;r
L11;r;r;r;r;r;r;p;p;p;p;p;p;p;p;p;p;e;e;e;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;j;j;j;j;j;r;r;r;r;r
L12;r;r;r;r;r;r;p;p;p;p;p;p;p;p;p;p;p;E;e;e;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;j;j;j;j;r;r;r;r;r
L13;r;r;r;r;r;p;p;p;p;p;p;p;p;p;p;p;p;E;e;e;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;j;j;r;r;r;r;r;r
L14;r;r;r;r;r;p;p;p;p;p;p;p;p;p;p;p;p;p;e;e;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;r;r;r;r;r
L15;r;r;r;r;j;j;j;j;j;j;j;j;j;j;j;j;j;j;e;e;j;j;j;j;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;r;r;r;r
L16;r;r;r;r;j;j;j;j;j;j;j;j;j;j;j;j;j;j;j;e;e;j;j;j;j;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;r;r;r;m
L17;m;r;r;j;j;j;j;j;j;j;j;j;j;j;j;j;j;j;e;e;e;j;j;j;j;j;p;p;p;p;p;p;p;p;p;p;p;s;s;s;s;s;s;p;p;r;r;r;m;m
L18;m;r;r;r;j;j;j;j;j;j;j;j;j;j;j;j;j;j;e;e;e;j;j;j;j;j;j;p;p;p;p;p;p;p;p;p;s;s;s;s;s;s;s;s;s;s;r;m;m;m
L19;m;r;r;r;r;j;j;j;j;j;q;j;j;j;j;j;j;e;e;e;j;j;j;j;j;j;j;j;j;j;p;p;p;p;p;p;s;s;s;s;s;s;s;s;s;s;m;m;m;m
L20;m;m;r;r;j;j;j;j;j;j;j;j;j;j;j;j;j;e;e;e;j;j;j;j;j;j;j;j;j;j;j;p;p;p;p;p;s;s;s;s;s;s;s;s;s;m;m;m;m;m
L21;m;m;r;j;j;j;j;j;j;j;j;j;j;j;j;j;j;j;e;e;E;j;j;j;j;j;j;j;j;j;j;j;p;p;p;r;s;s;s;s;s;s;s;s;m;m;m;m;m;m
L22;m;m;r;j;j;j;j;j;j;j;j;j;j;j;j;j;j;j;j;e;E;j;j;j;j;j;j;j;j;j;j;j;j;p;r;r;s;s;s;s;s;s;s;m;m;m;m;m;m;m
L23;m;m;r;j;j;j;j;j;j;j;j;j;j;j;j;j;j;j;e;e;E;j;j;j;j;j;j;j;j;j;j;j;j;r;r;r;s;s;s;s;s;s;m;m;m;m;m;m;m;m
L24;m;m;r;j;j;j;j;j;j;j;j;j;j;j;j;j;j;e;e;e;j;j;j;j;j;j;j;j;j;j;j;j;r;r;r;r;s;s;s;s;s;m;m;m;m;m;m;m;m;m
L25;m;r;j;j;r;r;j;j;r;r;j;j;j;r;r;j;e;e;e;j;j;j;j;j;j;j;j;j;j;j;j;r;r;r;r;r;s;s;s;s;m;m;m;m;m;m;m;m;m;m
L26;m;m;r;r;r;r;r;j;r;r;r;j;r;r;r;r;e;e;e;j;j;j;j;r;j;j;j;j;j;q;j;r;r;r;r;r;r;s;s;m;m;m;m;m;m;m;m;m;m;m
L27;m;m;r;m;m;r;r;r;r;r;r;r;m;r;r;r;e;e;r;r;r;r;r;m;r;j;r;j;r;r;r;r;r;r;r;r;r;s;m;m;m;m;m;m;m;m;m;m;m;m
L28;m;m;m;m;m;m;r;m;m;m;r;m;m;m;r;m;m;m;m;r;r;m;m;m;m;r;m;r;m;m;m;m;m;m;m;m;r;m;m;m;m;m;m;m;m;m;m;m;m;m
L29;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m
L30;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m
